"id","place","weight_lbs","grower_name","city","state_prov","country","gpc_site","seed_mother","pollinator_father","ott","est_weight","pct_chart","variety","weight_kg","weight_class"
"2863-P",4,2028.25427509658,"VZZER","Houston","Texas","Canada","Regional Pumpkin Festival","1032 P","1944 B",470,1995,6,"One Too Many",920.00066360369,"Heavy"
"2307-P",88,1988.37101941928,"USSWV","Houston","Texas","USA","National Pumpkin Festival","1796 W","1543 X",451,1812,11,"Peanut Pumpkin",901.909923137708,"Heavy"
"2182-P",34,1897.00332994666,"UKAEO","Nottingham","California","UK","Local Pumpkin Festival","1550 Z","1156 S",449,1747,13,"Red Warty Thing",860.466236328397,"Heavy"
"2737-P",81,1873.90562084317,"HQLYZ","Los Angeles","Florida","UK","Local Pumpkin Festival","1474 J","1992 G",434,1671,10,"Tiger Stripe",849.989291714576,"Heavy"
"2011-P",84,1792.73132074066,"CORMO","Paris","Texas","UK","Regional Pumpkin Festival","1688 M","1287 C",428,1617,7,"Peanut Pumpkin",813.169248547984,"Heavy"
"2630-P",78,1776.96423682012,"XOBTT","Chicago","Texas","USA","Regional Pumpkin Festival","1951 R","1419 E",449,1748,7,"Peanut Pumpkin",806.017419584478,"Heavy"
"2253-P",90,1774.28391778935,"MBKDG","Nottingham","California","USA","Local Pumpkin Festival","1582 I","1981 F",421,1571,15,"Tiger Stripe",804.801647322955,"Heavy"
"2256-P",63,1753.71630744133,"SPIDW","Paris","Texas","USA","National Pumpkin Festival","1200 A","1109 N",443,1704,-1,"One Too Many",795.472336199962,"Heavy"
"2689-P",93,1745.59327913728,"CXNUJ","Paris","California","UK","Regional Pumpkin Festival","1151 P","1250 U",427,1607,7,"Peanut Pumpkin",791.787792539949,"Heavy"
"2898-P",33,1741.20588225592,"BOZEE","Houston","Texas","Canada","National Pumpkin Festival","1150 V","1446 V",429,1591,7,"Peanut Pumpkin",789.797702790403,"Heavy"
"2714-P",6,1657.34509734996,"COMYE","Nottingham","Florida","USA","Regional Pumpkin Festival","1200 M","1660 I",415,1505,13,"Peanut Pumpkin",751.759090614848,"Heavy"
"2323-P",63,1621.97417830303,"BRYIG","New York","Florida","USA","Regional Pumpkin Festival","1818 F","1715 X",409,1428,15,"Tiger Stripe",735.715111615275,"Heavy"
"2360-P",71,1594.8558501089,"ZRJCW","Nottingham","Florida","Canada","National Pumpkin Festival","1856 V","1678 U",431,1630,-4,"One Too Many",723.41444485926,"Heavy"
"2459-P",9,1576.71454965696,"CQSZB","New York","Florida","Canada","Regional Pumpkin Festival","1399 G","1729 C",425,1542,7,"One Too Many",715.185689392382,"Heavy"
"2262-P",98,1557.24144710321,"ZVTHO","Chicago","Texas","Canada","Local Pumpkin Festival","1020 G","1047 B",413,1503,8,"One Too Many",706.352838653775,"Heavy"
"2318-P",38,1543.8609346319,"WKLHI","Houston","New York","UK","National Pumpkin Festival","1258 W","1764 F",418,1479,4,"Red Warty Thing",700.283540290098,"Heavy"
"2325-P",77,1537.21181776747,"JUGDK","Nottingham","California","USA","National Pumpkin Festival","1270 R","1333 Y",428,1616,-6,"Red Warty Thing",697.267551613155,"Medium"
"2902-P",37,1539.96281181928,"UAYKW","Nottingham","New York","USA","National Pumpkin Festival","1787 A","1811 S",411,1440,5,"Tiger Stripe",698.51538152497,"Medium"
"2833-P",61,1534.08937109727,"VOGAN","Paris","Florida","UK","Regional Pumpkin Festival","1753 N","1494 M",414,1441,5,"Peanut Pumpkin",695.851233627822,"Medium"
"2190-P",17,1530.93489268515,"UVXGO","Nottingham","Florida","USA","National Pumpkin Festival","1090 X","1999 W",397,1343,18,"Red Warty Thing",694.420386288754,"Medium"
"2713-P",16,1534.17437389493,"CTXGR","Chicago","Florida","UK","Regional Pumpkin Festival","1754 W","1183 O",407,1434,7,"Red Warty Thing",695.889790248267,"Medium"
"2061-P",94,1516.33817413915,"NQDLK","Houston","Texas","Canada","Local Pumpkin Festival","1162 E","1294 F",441,1706,-8,"One Too Many",687.79942612925,"Medium"
"2889-P",33,1513.79621877149,"HLOYJ","Houston","California","USA","Regional Pumpkin Festival","1313 J","1850 E",419,1540,0,"Tiger Stripe",686.646414569597,"Medium"
"2574-P",90,1508.34566919319,"TDBTH","New York","Texas","UK","Local Pumpkin Festival","1947 J","1138 C",405,1376,5,"Tiger Stripe",684.174086868577,"Medium"
"2303-P",54,1502.59503928758,"DGBKM","Houston","New York","UK","Regional Pumpkin Festival","1020 V","1046 V",409,1397,7,"Peanut Pumpkin",681.565645020698,"Medium"
"2701-P",74,1491.0921182353,"QYDZD","Houston","New York","USA","Regional Pumpkin Festival","1631 G","1800 B",413,1426,9,"Tiger Stripe",676.348007798672,"Medium"
