gene_id,log2FoldChange,pvalue,padj,Comparison
Q0045,4.541325,1.583788e-06,1.723092e-05,A_vs_D
Q0070,8.390871,2.659896e-102,8.104703000000001e-99,A_vs_D
Q0250,1.533806,1.132719e-06,1.290241e-05,A_vs_D
Q0255,3.536816,1.6970940000000002e-17,1.814402e-15,A_vs_D
YAL005C,1.245658,0.0001253947,0.0007595975,A_vs_D
YAL011W,1.591879,2.618026e-15,2.099243e-13,A_vs_D
YAL019W,1.062534,7.538064e-08,1.212057e-06,A_vs_D
YAL035W,1.062684,5.235129e-07,6.618854e-06,A_vs_D
YAL036C,1.236724,4.153908e-05,0.0002936649,A_vs_D
YAL039C,1.207274,0.0001043957,0.0006558631,A_vs_D
YAL053W,1.819318,2.449815e-19,3.3929930000000004e-17,A_vs_D
YAL055W,1.277392,2.147396e-09,5.131855e-08,A_vs_D
YAL059W,1.110309,6.921785e-05,0.000459597,A_vs_D
YAR042W,1.474893,1.3169699999999999e-21,2.2930329999999997e-19,A_vs_D
YBR030W,1.375207,1.536847e-07,2.273191e-06,A_vs_D
YBR072W,1.202859,0.002485409,0.009332153,A_vs_D
YBR083W,1.014513,2.899179e-06,2.915445e-05,A_vs_D
YBR117C,2.217559,3.743544e-07,4.970187e-06,A_vs_D
YBR169C,1.337446,2.88284e-07,3.947871e-06,A_vs_D
YBR177C,1.036857,0.000146795,0.0008609901,A_vs_D
YBR292C,1.073673,0.0001726885,0.0009835176,A_vs_D
YCL001W-A,1.366112,0.002828962,0.01040416,A_vs_D
YCL024W,1.093706,6.113769e-05,0.0004158182,A_vs_D
YCR020C,1.695926,7.666659e-09,1.591494e-07,A_vs_D
YCR024C-B,1.112336,0.0002041291,0.001128823,A_vs_D
YCR071C,1.053841,0.0007608429,0.003447269,A_vs_D
YCR086W,1.375214,3.569548e-12,1.686266e-10,A_vs_D
YDL022C-A,3.219306,6.313252e-05,0.0004255858,A_vs_D
YDL024C,1.143942,0.00189825,0.0074201,A_vs_D
YDL042C,1.320673,9.035697e-07,1.069195e-05,A_vs_D
YDL048C,1.569933,2.436205e-08,4.568072e-07,A_vs_D
YDL083C,1.02914,0.007364159,0.02281288,A_vs_D
YDL101C,1.132946,2.889951e-05,0.0002119297,A_vs_D
YDL181W,1.631976,1.753579e-07,2.54436e-06,A_vs_D
YDL208W,1.025928,9.285801e-05,0.0005947233,A_vs_D
YDL239C,1.235675,2.208209e-11,8.795312e-10,A_vs_D
YDR014W-A,1.484647,0.001252547,0.005213814,A_vs_D
YDR034W-B,1.489597,0.001751362,0.006939401,A_vs_D
YDR070C,1.923032,6.563762e-07,8.146552e-06,A_vs_D
YDR113C,1.096021,5.796177e-05,0.0003959854,A_vs_D
YDR116C,1.24719,1.607137e-12,8.094124e-11,A_vs_D
YDR207C,1.150901,1.864527e-07,2.686154e-06,A_vs_D
YDR218C,2.255852,9.844487e-13,5.171751e-11,A_vs_D
YDR223W,1.319629,1.212499e-06,1.358266e-05,A_vs_D
YDR273W,1.490913,2.711389e-11,1.044182e-09,A_vs_D
YDR277C,1.172466,1.34378e-07,2.05238e-06,A_vs_D
YDR310C,1.022523,9.530722e-06,8.100449e-05,A_vs_D
YDR342C,1.167231,2.097754e-05,0.0001595969,A_vs_D
YDR344C,1.520694,0.0007094406,0.003248183,A_vs_D
YDR361C,1.124221,1.733523e-05,0.0001352636,A_vs_D
YDR374C,2.432492,7.326742e-07,8.947729e-06,A_vs_D
YDR405W,1.056381,1.049141e-06,1.206315e-05,A_vs_D
YDR440W,1.143506,1.101714e-06,1.264377e-05,A_vs_D
YDR446W,1.571904,0.0001438867,0.000848013,A_vs_D
YDR464W,1.089276,7.52227e-10,1.984447e-08,A_vs_D
YDR478W,1.480042,5.942436e-11,2.093249e-09,A_vs_D
YDR515W,1.712774,4.28045e-15,3.260633e-13,A_vs_D
YDR525W,1.385341,0.004067303,0.01398767,A_vs_D
YDR527W,1.215069,3.274419e-06,3.239336e-05,A_vs_D
YDR533C,1.762814,9.476502e-07,1.104203e-05,A_vs_D
YDR540C,1.306137,3.944443e-06,3.803391e-05,A_vs_D
YEL009C-A,1.084263,9.471828e-05,0.000602519,A_vs_D
YEL032W,1.159484,7.864312e-06,6.866063e-05,A_vs_D
YER006W,1.13796,2.168253e-06,2.273625e-05,A_vs_D
YER058W,1.11285,4.539382e-06,4.269301e-05,A_vs_D
YER060W-A,3.097422,6.630473000000001e-17,6.73435e-15,A_vs_D
YER085C,1.911743,4.710114e-05,0.0003280393,A_vs_D
YER095W,1.150231,0.0002071442,0.001142386,A_vs_D
YER137C,2.450291,1.171739e-15,1.005715e-13,A_vs_D
YER154W,1.47154,3.319519e-11,1.241052e-09,A_vs_D
YER163C,1.033177,0.0003139687,0.001628362,A_vs_D
YFL014W,3.892052,2.03066e-11,8.223677e-10,A_vs_D
YFL040W,2.407459,6.048417999999999e-19,7.678971e-17,A_vs_D
YFL060C,2.569376,0.0002570528,0.00137652,A_vs_D
YFR017C,1.070344,0.0005656843,0.002693188,A_vs_D
YFR019W,1.162683,8.917253e-13,4.76682e-11,A_vs_D
YGL010W,1.032103,0.002722149,0.01009141,A_vs_D
YGL012W,1.262488,3.207424e-05,0.0002338043,A_vs_D
YGL018C,1.129363,0.0003247716,0.0016801,A_vs_D
YGL023C,1.152478,1.552797e-05,0.0001227334,A_vs_D
YGL037C,1.28167,3.534383e-05,0.0002546188,A_vs_D
YGL041C-B,1.385261,3.830879e-05,0.0002733651,A_vs_D
YGL050W,1.233698,6.086735e-16,5.454788e-14,A_vs_D
YGL057C,1.323692,2.076399e-07,2.963367e-06,A_vs_D
YGL061C,1.373928,4.345484e-08,7.587787e-07,A_vs_D
YGL075C,2.075759,3.537198e-08,6.396346e-07,A_vs_D
YGL081W,1.350305,5.502999e-08,9.315354e-07,A_vs_D
YGL090W,1.095468,3.69564e-08,6.62389e-07,A_vs_D
YGL099W,1.312094,4.340313e-11,1.593365e-09,A_vs_D
YGL108C,1.319686,1.4874e-08,2.886693e-07,A_vs_D
YGL128C,1.54129,1.312666e-08,2.597202e-07,A_vs_D
YGL136C,1.065755,1.709357e-06,1.830725e-05,A_vs_D
YGL143C,1.395283,2.562684e-09,6.017831e-08,A_vs_D
YGL158W,1.402305,0.0002647147,0.001413108,A_vs_D
YGL163C,1.348834,1.342571e-08,2.64102e-07,A_vs_D
YGL170C,6.821617,2.939372e-37,1.3778869999999999e-34,A_vs_D
YGL171W,1.362006,4.305627e-08,7.539797e-07,A_vs_D
YGL174W,1.356584,1.695141e-07,2.481026e-06,A_vs_D
YGL180W,1.495323,1.682039e-16,1.653282e-14,A_vs_D
YGL183C,1.569081,1.941416e-05,0.0001499492,A_vs_D
YGL204C,5.674005,3.606662e-14,2.481792e-12,A_vs_D
YGL207W,1.043242,3.985722e-09,8.705732e-08,A_vs_D
YGL208W,1.876531,4.603435e-09,9.91284e-08,A_vs_D
YGL209W,2.564794,3.768578e-13,2.126455e-11,A_vs_D
YGL210W,1.761225,7.434569e-17,7.427256e-15,A_vs_D
YGL216W,1.305374,7.357865e-13,3.968038e-11,A_vs_D
YGL249W,1.037312,0.0002901229,0.001525461,A_vs_D
YGR001C,1.258074,9.388674e-08,1.474603e-06,A_vs_D
YGR009C,1.01576,7.910502e-09,1.634122e-07,A_vs_D
YGR017W,1.042742,1.031596e-05,8.683072e-05,A_vs_D
YGR032W,1.801711,3.215357e-14,2.252229e-12,A_vs_D
YGR033C,1.100876,2.242697e-08,4.257631e-07,A_vs_D
YGR043C,1.336391,0.0005133024,0.002480622,A_vs_D
YGR047C,1.006767,5.710066e-07,7.174669e-06,A_vs_D
YGR048W,1.092502,6.496113e-09,1.37893e-07,A_vs_D
YGR072W,1.169878,5.905488e-10,1.606609e-08,A_vs_D
YGR079W,1.480518,2.214887e-05,0.0001664306,A_vs_D
YGR083C,1.110764,7.687194e-08,1.232783e-06,A_vs_D
YGR088W,1.099844,0.0001525808,0.0008880876,A_vs_D
YGR093W,1.138216,5.427468e-08,9.238824e-07,A_vs_D
YGR102C,1.367679,1.660077e-09,4.079237e-08,A_vs_D
YGR112W,1.492304,1.003806e-07,1.558621e-06,A_vs_D
YGR145W,1.182994,8.891528e-06,7.599575e-05,A_vs_D
YGR152C,1.017912,1.612497e-05,0.0001267942,A_vs_D
YGR153W,1.521921,9.792296e-08,1.530109e-06,A_vs_D
YGR159C,1.422833,3.113415e-06,3.095131e-05,A_vs_D
YGR174C,1.972231,2.060913e-10,6.1868e-09,A_vs_D
YGR179C,1.237118,1.49621e-06,1.636967e-05,A_vs_D
YGR181W,2.006616,3.837064e-06,3.717499e-05,A_vs_D
YGR184C,1.370862,9.312526000000001e-27,2.182713e-24,A_vs_D
